"Albany, NY", 1
"Albuquerque, NM", 1
"Alexandria, VA", 2
"Anchorage, AK", 1
"Austin, TX", 1
"Baltimore, MD", 1
"Beacon, NY", 4
"Belchertown, MA", 1
"Berkeley, CA", 1
"Biddeford, ME", 1
"Boston, MA", 4
"Bowie, MD", 1
"Brandford, CT", 1
"Brisbane, Austrailia", 1
"Burlington, VT", 3
"Calgary, Canada", 1
"Cambridge, MA", 1
"Carslbad, CA", 1
"Charlotte, NC", 1
"Cleveland, OH", 1
"Colchester, VT", 1
"Columbus, OH", 1
"Cumming, GA", 1
"Dayton, OH", 1
"East Windsor, NJ", 1
"Glen Cove, NY", 1
"Haiku, HA", 1
"Hastings, NY", 1
"Dublin, Ireland", 1
"Jacksonville, FL", 1
"Katonah, NY", 1
"Lake Hill, NY", 1
"Larchmont, NY", 3
"Leesburg, VA", 1
"Los Angeles, CA", 9
"Milwaukee, WI", 2
"Montclair, NJ", 1
"Montevideo, Uruguay", 1
"Mt. Ranier, MD", 1
"Nashville, IN", 1
"Oakland, CA", 1
"Paia, HI", 2
"Parañaque City, Philippines", 2
"Philadelphia", 6
"Pismo Beach, CA", 1
"Portland, OR", 1
"Redding,CT", 1
"Roanoke, VA", 1
"Rochester, NY", 1
"Rockfall, CT", 1
"San Francisco, CA", 2
"Seattle, WA", 1
"Shanghai, China", 1
"South Lyon, MI", 1
"Stamford, CT", 3
"Stonington, CT", 2
"Tacoma, WA", 1
"Tivoli, NY", 1
"Topsham, ME", 2
"Toronto, Canada", 2
"Ulster Park, NY", 1
"Urbana, IL", 2
"Vancouver, Canada", 4
"New York City, NY", 50
"Queens, NY", 5
"Brooklyn, NY", 52
"Bronx, NY", 1
